GROUP,CUST,MAKER,VENDOR_ID,STYLE,IE,CPO,EXP_DATE,COLOR_CODE,SIZE_CODE,CPO_QTY,ACC_QTY,CUTTING,SEWING,RECEIVING,PACKING,OE_FOLDERID,SHIP_CPO_ID,ERP_COLOR_ID,ERP_SIZE_ID,create_time
202610,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,L,306,306,306,306,306,306,4732050,2312696,509180,789413,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,XXS,19,19,19,19,19,19,4732050,2312696,509180,789414,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,XXL,5,5,5,5,5,5,4732050,2312696,509180,789415,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,S,850,850,850,850,850,850,4732050,2312696,509180,789416,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,M,759,759,759,759,759,759,4732050,2312696,509180,789417,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,XL,103,103,103,103,103,103,4732050,2312696,509180,789418,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,XS,885,885,885,885,885,885,4732050,2312699,509181,789412,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,L,566,566,566,566,566,566,4732050,2312699,509181,789413,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,XXS,25,25,25,25,25,25,4732050,2312699,509181,789414,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,XXL,9,9,9,9,9,9,4732050,2312699,509181,789415,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,S,2167,2167,2167,2167,2167,2167,4732050,2312699,509181,789416,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,M,1484,1484,1484,1484,1484,1484,4732050,2312699,509181,789417,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,XL,182,182,182,182,182,182,4732050,2312699,509181,789418,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220842,8/11/2026 12:00:00 AM,DARKEST NIGHT,S,153,153,153,153,153,153,4731878,2312685,509166,789393,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220842,8/11/2026 12:00:00 AM,DARKEST NIGHT,M,182,182,182,182,182,182,4731878,2312685,509166,789394,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220842,8/11/2026 12:00:00 AM,DARKEST NIGHT,XS,69,69,69,69,69,69,4731878,2312685,509166,789395,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220842,8/11/2026 12:00:00 AM,DARKEST NIGHT,XL,31,31,31,31,31,31,4731878,2312685,509166,789396,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220842,8/11/2026 12:00:00 AM,DARKEST NIGHT,L,95,95,95,95,95,95,4731878,2312685,509166,789397,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,S,199,199,199,199,199,199,4731878,2312686,509167,789393,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,M,188,188,188,188,188,188,4731878,2312686,509167,789394,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,XS,86,86,86,86,86,86,4731878,2312686,509167,789395,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,XL,37,37,37,37,37,37,4731878,2312686,509167,789396,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,L,100,100,100,100,100,100,4731878,2312686,509167,789397,8/13/2026 2:35:00 AM
202610,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,XXS,5,5,5,5,5,5,4731878,2312686,509167,789398,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,S,178,178,178,178,178,178,4731878,2312687,509168,789393,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,M,151,151,151,151,151,151,4731878,2312687,509168,789394,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,XS,81,81,81,81,81,81,4731878,2312687,509168,789395,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,XL,22,22,22,22,22,22,4731878,2312687,509168,789396,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,L,59,59,59,59,59,59,4731878,2312687,509168,789397,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC4_H26,1.7500, 2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,XXS,9,9,9,9,9,9,4731878,2312687,509168,789398,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,XXS,19,19,,,,,4800640,2359371,513787,799347,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,XS,221,221,,,,,4800640,2359371,513787,799348,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,L,41,41,,,,,4800640,2359371,513787,799349,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,S,253,253,,,,,4800640,2359371,513787,799350,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,XL,41,41,,,,,4800640,2359371,513787,799351,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,M,112,112,,,,,4800640,2359371,513787,799352,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,XXS,23,23,,,,,4800640,2359370,513788,799347,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,XS,232,232,,,,,4800640,2359370,513788,799348,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,L,76,76,,,,,4800640,2359370,513788,799349,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,S,283,283,,,,,4800640,2359370,513788,799350,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,XL,66,66,,,,,4800640,2359370,513788,799351,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC4_S27,1.7500, 2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,M,133,133,,,,,4800640,2359370,513788,799352,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,XL,109,109,109,109,109,109,4731709,2312681,509162,789387,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,L,274,274,274,274,274,274,4731709,2312681,509162,789388,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,S,515,515,515,515,515,515,4731709,2312681,509162,789389,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,XXS,10,10,10,10,10,10,4731709,2312681,509162,789390,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,M,506,506,506,506,506,506,4731709,2312681,509162,789391,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,XS,236,236,236,236,236,236,4731709,2312681,509162,789392,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,XL,30,30,30,30,30,30,4731709,2312684,509163,789387,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,L,59,59,59,59,59,59,4731709,2312684,509163,789388,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,S,172,172,172,172,172,172,4731709,2312684,509163,789389,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,XXS,7,7,7,7,7,7,4731709,2312684,509163,789390,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,M,147,147,147,147,147,147,4731709,2312684,509163,789391,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,XS,86,86,86,86,86,86,4731709,2312684,509163,789392,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220846,8/10/2026 12:00:00 AM,DARKEST NIGHT,XL,76,76,76,76,76,76,4731709,2312682,509164,789387,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220846,8/10/2026 12:00:00 AM,DARKEST NIGHT,L,227,227,227,227,227,227,4731709,2312682,509164,789388,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220846,8/10/2026 12:00:00 AM,DARKEST NIGHT,S,327,327,327,327,327,327,4731709,2312682,509164,789389,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220846,8/10/2026 12:00:00 AM,DARKEST NIGHT,M,387,387,387,387,387,387,4731709,2312682,509164,789391,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220846,8/10/2026 12:00:00 AM,DARKEST NIGHT,XS,116,116,116,116,116,116,4731709,2312682,509164,789392,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,XL,15,15,15,15,13,0,4731709,2312683,509165,789387,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,L,59,59,59,59,59,0,4731709,2312683,509165,789388,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,S,183,183,183,183,183,0,4731709,2312683,509165,789389,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,XXS,9,9,9,9,8,0,4731709,2312683,509165,789390,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,M,149,149,149,149,149,0,4731709,2312683,509165,789391,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 00AC5_H26,2.2500, 2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,XS,85,85,85,85,85,0,4731709,2312683,509165,789392,8/13/2026 2:35:00 AM
