DELIVERY SCHEDULE ON AGUSTUS 2026,,,,,,,,,, ,,,
Actual Exp Date,ORG DELVY,BUYER,MAKER,SHIPER,STYLE,BUYER PO.,Order QTY,SHIP MODE,% OVER/SHORT,PPIC,,,
,,,,,,,,,,Plan Exp QTY (PC),QTY CTN ,Bal -Order,QTY (DZ)
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N065,36,SEA,0,36,3,0,3
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N066,36,SEA,0,36,3,0,3
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N067,24,SEA,0,24,2,0,2
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N068,12,SEA,0,12,1,0,1
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N069,48,SEA,0,48,4,0,4
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N070,60,SEA,0,60,5,0,5
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N071,24,SEA,0,24,2,0,2
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N072,24,SEA,0,24,2,0,2
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N073,24,SEA,0,24,2,0,2
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N074,24,SEA,0,24,2,0,2
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N075,12,SEA,0,12,1,0,1
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N076,48,SEA,0,48,4,0,4
2024-12-31,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N077,48,SEA,0,48,4,0,4
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_F056,936,SEA,0,936,78,0,78
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_F057,504,SEA,0,504,42,0,42
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N078,24,SEA,0,24,2,0,2
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N079,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N080,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N081,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N082,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N083,36,SEA,0,36,3,0,3
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N084,48,SEA,0,48,4,0,4
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N085,36,SEA,0,36,3,0,3
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N086,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N087,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N088,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N089,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N090,72,SEA,0,72,6,0,6
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N091,72,SEA,0,72,6,0,6
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N092,24,SEA,0,24,2,0,2
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N093,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N094,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N095,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N096,12,SEA,0,12,1,0,1
